rank,name,rating,reviews_count,price,url,asin
1,"Dell Chromebook 11 3100 11.6"""" Touchscreen Chromebook - HD - 1366 x 768 - Celeron - 4GB RAM - 32GB Flash Memory, Black (Renewed)",4.1,"1,892",$75.64,https://www.amazon.com/dp/B08FPH8GP9,B08FPH8GP9
2,"Apple MacBook Air Late 2020 with Apple M1 Chip (13.3 inch, 8GB RAM, 256GB SSD) Space Gray (Renewed)",4.3,"2,892",$398.00,https://www.amazon.com/dp/B08PNQTYV2,B08PNQTYV2
3,"Late 2020 Apple MacBook Air with Apple M1 Chip (13.3 inch, 8GB RAM, 128GB SSD) Space Gray (Renewed)",4.0,"1,252",$359.00,https://www.amazon.com/dp/B09WQ36NF1,B09WQ36NF1
4,"Dell Latitude 3190 11.6"" HD 2-in-1 Touchscreen Laptop Intel N5030 1.1Ghz 4GB Ram 128GB SSD Windows 11 Professional (Renewed)",4.1,685,$149.99,https://www.amazon.com/dp/B0DNLDKY3S,B0DNLDKY3S
5,"Apple 2020 MacBook Pro with 2.0GHz Intel Core i5, 13-inch, 16GB RAM, 512GB SSD Storage - Space Gray (Renewed)",3.9,"1,742",$399.00,https://www.amazon.com/dp/B08HHNXW8Y,B08HHNXW8Y
6,"Apple 2020 MacBook Air with 1.1GHz Intel Core i3, 13-inch, 8GB RAM, 128GB SSD Storage Space Gray (Renewed)",3.7,"2,943",$295.00,https://www.amazon.com/dp/B09BK21GFW,B09BK21GFW
7,"Apple MacBook Air (13-inch Retina display, 1.6GHz dual-core Intel Core i5, 128GB) - Space Gray (Renewed)",3.9,"3,293",$269.95,https://www.amazon.com/dp/B07NPTCNSG,B07NPTCNSG
8,"Dell Latitude 5420 14"" FHD Business Laptop Computer, Intel Quad-Core i5-1145G7, 16GB DDR4 RAM, 256GB SSD, Camera, HDMI, Windows 11 Pro (Renewed)",4.1,306,$248.00,https://www.amazon.com/dp/B0F53SQRH4,B0F53SQRH4
9,"HP Chromebook 11A G8 Education Edition AMD A4-9120C 4GB DDR4-1866 SDRAM, 32GB eMMC 11.6-inch WLED HD Webcam Chrome OS (Renewed)",4.1,"1,147",$57.52,https://www.amazon.com/dp/B08NHSPCR6,B08NHSPCR6
10,"Apple MacBook Pro 2020 with Apple M1 Chip (13-inch, 8GB RAM, 256GB SSD Storage) Space Gray (Renewed)",4.3,"2,101",$455.00,https://www.amazon.com/dp/B08PPZMDPK,B08PPZMDPK
11,"Apple 2019 MacBook Air with 1.6GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD Storage) Space Gray (Renewed)",3.9,"2,716",$279.00,https://www.amazon.com/dp/B08156M1LH,B08156M1LH
12,"Apple 2022 MacBook Air with Apple M2 Chip, 13-inch, 8GB RAM, 256GB SSD Storage, Midnight (Renewed)",4.3,"1,740",$609.00,https://www.amazon.com/dp/B0BHC15G32,B0BHC15G32
13,"Lenovo 11.6"" 300e Chromebook Touchscreen LCD 2 in 1- MediaTek M8173C Quad-core 2.1GHz 4GB LPDDR3 32GB Flash Memory Chrome OS Model 81H00000US (Renewed)",4.0,"3,313",$56.86,https://www.amazon.com/dp/B07RJZMC49,B07RJZMC49
14,"Lenovo 100e 81ER000BUS 11.6"" HD Chromebook, Intel Dual-Core Celeron N3350 1.1 GHz up to 2.4 GHz, 4GB RAM, 16GB SSD, Bluetooth, USB Type C, 802.11ac, Webcam, Chrome OS (Renewed)",3.9,333,$53.86,https://www.amazon.com/dp/B0835RM1L2,B0835RM1L2
